,Symbol,Name,Industry,IndustryCode
122,ERIC,Telefonaktiebolaget LM Ericsson ADR Class B,커뮤니케이션 및 네트워킹,571020
123,MDB,MongoDB Inc Class A,소프트웨어 및 IT서비스,572010
124,FANG,Diamondback Energy Inc,오일 및 가스,501020
125,TSCO,Tractor Supply Co,전문품 상점,534030
126,VRSN,Verisign Inc,소프트웨어 및 IT서비스,572010
127,TTWO,Take-Two Interactive Software Inc,레저 상품,532050
128,ARGX,argenx SE ADR,생명과학 및 메디컬 리서치,562020
129,ALGN,Align Technology Inc,헬스케어 장비 및 용품,561010
130,NTRS,Northern Trust Corp,투자은행 및 서비스,551020
131,ULTA,Ulta Beauty Inc,전문품 상점,534030
132,HBAN,Huntington Bancshares Inc,은행,551010
133,ZI,ZoomInfo Technologies Inc,소프트웨어 및 IT서비스,572010
134,JBHT,J B Hunt Transport Services Inc,화물 및 물류 서비스,524050
135,PFG,Principal Financial Group Inc,보험,553010
136,ICLR,ICON PLC,생명과학 및 메디컬 리서치,562020
137,PSNY,Polestar Automotive Holding Uk Plc ADR Class A,자동차 및 자동차 부품,531010
138,PODD,Insulet Corp,헬스케어 장비 및 용품,561010
139,LPLA,LPL Financial Holdings Inc,투자은행 및 서비스,551020
140,HOLX,Hologic Inc,헬스케어 장비 및 용품,561010
141,SPLK,Splunk Inc,소프트웨어 및 IT서비스,572010
142,EXPD,Expeditors International of Washington Inc,화물 및 물류 서비스,524050
143,MTCH,Match Group Inc,소프트웨어 및 IT서비스,572010
144,ACGL,Arch Capital Group Ltd,보험,553010
145,SWKS,Skyworks Solutions Inc,반도체 및 반도체 장비,571010
146,TRMB,Trimble Inc,소프트웨어 및 IT서비스,572010
147,BMRN,Biomarin Pharmaceutical Inc,제약,562010
148,EXPE,Expedia Group Inc,호텔 및 엔터테인먼트,533010
149,TW,Tradeweb Markets Inc Class A,투자은행 및 서비스,551020
150,ZBRA,Zebra Technologies Corp Class A,전자 장비 및 부품,571040
151,TCOM,Trip.com Group Ltd ADR,호텔 및 엔터테인먼트,533010
152,SEDG,Solaredge Technologies Inc,재생에너지,502010
153,STX,Seagate Technology Holdings PLC,"컴퓨터, 전화 및 가전제품",571060
154,COIN,Coinbase Global Inc Class A,핀테크,573010
155,IEP,Icahn Enterprises Units,오일 및 가스,501020
156,PPD,PPD Inc,생명과학 및 메디컬 리서치,562020
157,INCY,Incyte Corp,제약,562010
158,CINF,Cincinnati Financial Corp,보험,553010
159,BGNE,Beigene Ltd ADR,생명과학 및 메디컬 리서치,562020
160,NTAP,NetApp Inc,"컴퓨터, 전화 및 가전제품",571060
161,RYAAY,Ryanair Holdings PLC ADR,운송업,524060
162,LNT,Alliant Energy Corp,전기 유틸리티,591010
163,CHKP,Check Point Software Technologies Ltd,소프트웨어 및 IT서비스,572010
164,PARA,Paramount Global Class B,미디어 및 출판,533020
165,SSNC,SS&C Technologies Holdings Inc,소프트웨어 및 IT서비스,572010
166,PLUG,Plug Power Inc,재생에너지,502010
167,AKAM,Akamai Technologies Inc,소프트웨어 및 IT서비스,572010
168,LKQ,LKQ Corp,자동차 및 자동차 부품,531010
169,ENTG,Entegris Inc,반도체 및 반도체 장비,571010
170,TER,Teradyne Inc,반도체 및 반도체 장비,571010
171,OKTA,Okta Inc Class A,소프트웨어 및 IT서비스,572010
172,LBRDK,Liberty Broadband Corp Series C,미디어 및 출판,533020
173,POOL,Pool Corp,레저 상품,532050
174,STLD,Steel Dynamics Inc,메탈&마이닝,512010
175,WDC,Western Digital Corp,"컴퓨터, 전화 및 가전제품",571060
176,JKHY,Jack Henry & Associates Inc,소프트웨어 및 IT서비스,572010
177,AZPN,Aspen Technology Inc,소프트웨어 및 IT서비스,572010
178,WMG,Warner Music Group Corp Class A,미디어 및 출판,533020
179,CHRW,CH Robinson Worldwide Inc,화물 및 물류 서비스,524050
180,PCTY,Paylocity Holding Corp,소프트웨어 및 IT서비스,572010
181,FWONK,Liberty Media Corp Series C,미디어 및 출판,533020
182,NICE,Nice Ltd ADR,소프트웨어 및 IT서비스,572010
183,PTC,PTC Inc,소프트웨어 및 IT서비스,572010
184,NDSN,Nordson Corp,"건설장비 및 대형차, 기차, 배",521020
185,TECH,Bio-Techne Corp,생명과학 및 메디컬 리서치,562020
186,HZNP,Horizon Therapeutics PLC,제약,562010
187,ETSY,ETSY Inc,다양한 소매업,534020
188,NLOK,NortonLifeLock Inc,소프트웨어 및 IT서비스,572010
189,HST,Host Hotels & Resorts Inc,주택 및 상업용 리츠,601020
190,GLPI,Gaming and Leisure Properties Inc,주택 및 상업용 리츠,601020
191,GRAB,Grab Holdings Ltd Class A,소프트웨어 및 IT서비스,572010
192,RGEN,Repligen Corp,헬스케어 장비 및 용품,561010
193,DOCU,DocuSign Inc,소프트웨어 및 IT서비스,572010
194,CTXS,Citrix Systems Inc,소프트웨어 및 IT서비스,572010
195,VTRS,Viatris Inc,제약,562010
196,PGY,Pagaya Technologies Ltd Class A,핀테크,573010
197,FCNCA,First Citizens BancShares Inc (Delaware) Class A,은행,551010
198,HTHT,H World Group Ltd ADR,호텔 및 엔터테인먼트,533010
199,ABMD,ABIOMED Inc,헬스케어 장비 및 용품,561010
200,FSLR,First Solar Inc,재생에너지,502010
201,UAL,United Airlines Holdings Inc,운송업,524060
202,CG,Carlyle Group Inc,투자은행 및 서비스,551020
203,NFE,New Fortress Energy Inc Class A,천연가스 유틸리티,591020
204,SBNY,Signature Bank,은행,551010
205,APA,APA Corp (US),오일 및 가스,501020
206,CHK,Chesapeake Energy Corp,오일 및 가스,501020
207,HAS,Hasbro Inc,레저 상품,532050
208,XP,XP Inc Class A,투자은행 및 서비스,551020
209,UHAL,Amerco,화물 및 물류 서비스,524050
210,BSY,Bentley Systems Inc Class B,소프트웨어 및 IT서비스,572010
211,REG,Regency Centers Corp,주택 및 상업용 리츠,601020
212,DOX,Amdocs Ltd,소프트웨어 및 IT서비스,572010
213,FOXA,Fox Corp Class A,미디어 및 출판,533020
214,EWBC,East West Bancorp Inc,은행,551010
215,QRVO,Qorvo Inc,반도체 및 반도체 장비,571010
216,SWAV,Shockwave Medical Inc,헬스케어 장비 및 용품,561010
217,RCM,R1 RCM Holdco Inc,헬스케어 업체 및 서비스,561020
218,LAMR,Lamar Advertising Co Class A,주택 및 상업용 리츠,601020
219,HSIC,Henry Schein Inc,헬스케어 장비 및 용품,561010
220,MORN,Morningstar Inc,전문 및 상업 서비스,522030
221,OTEX,Open Text Corp,소프트웨어 및 IT서비스,572010
222,NBIX,Neurocrine Biosciences Inc,생명과학 및 메디컬 리서치,562020
223,ROKU,Roku Inc Class A,미디어 및 출판,533020
224,FFIV,F5 Inc,소프트웨어 및 IT서비스,572010
225,UTHR,United Therapeutics Corp,생명과학 및 메디컬 리서치,562020
226,ERIE,Erie Indemnity Co Class A,보험,553010
227,ARCC,Ares Capital Corp,다양한 금융서비스,555010
228,CZR,Caesars Entertainment Inc,호텔 및 엔터테인먼트,533010
229,APP,Applovin Corp Class A,소프트웨어 및 IT서비스,572010
230,MKTX,Marketaxess Holdings Inc,투자은행 및 서비스,551020
231,JAZZ,Jazz Pharmaceuticals PLC,제약,562010
232,DISH,DISH Network Corp Class A,미디어 및 출판,533020
233,OLPX,Olaplex Holdings Inc,"개인, 가정 용품 및 서비스",542010
234,SRPT,Sarepta Therapeutics Inc,생명과학 및 메디컬 리서치,562020
235,LOGI,Logitech International SA,"컴퓨터, 전화 및 가전제품",571060
236,LSXMK,Liberty Media Corp Series C,미디어 및 출판,533020
237,TPG,TPG Inc Class A,투자은행 및 서비스,551020
238,CREE,Cree Inc,반도체 및 반도체 장비,571010
239,MANH,Manhattan Associates Inc,소프트웨어 및 IT서비스,572010
240,ESLT,Elbit Systems Ltd,우주항공 및 국방,521010
241,AXON,Axon Enterprise Inc,우주항공 및 국방,521010
242,AAL,American Airlines Group Inc,운송업,524060
243,BZ,Kanzhun Ltd ADR,소프트웨어 및 IT서비스,572010
244,GTLB,GitLab Inc Class A,소프트웨어 및 IT서비스,572010
245,AFRM,Affirm Holdings Inc Class A,핀테크,573010
246,WSC,Willscot Mobile Mini Holdings Corp Class A,전문 및 상업 서비스,522030
247,BRKR,Bruker Corp,헬스케어 장비 및 용품,561010
248,BILI,Bilibili Inc ADR,소프트웨어 및 IT서비스,572010
249,CBSH,Commerce Bancshares Inc,은행,551010
250,ZION,Zions Bancorporation NA,은행,551010
251,DBX,Dropbox Inc Class A,소프트웨어 및 IT서비스,572010
252,NWL,Newell Brands Inc,가정용품,532040
253,MAT,Mattel Inc,레저 상품,532050
254,LECO,Lincoln Electric Holdings Inc,"건설장비 및 대형차, 기차, 배",521020
255,DLO,Dlocal Ltd Class A,전문 및 상업 서비스,522030
256,FLEX,Flex Ltd,전자 장비 및 부품,571040
257,LSCC,Lattice Semiconductor Corp,반도체 및 반도체 장비,571010
258,PBCT,People's United Financial Inc,은행,551010
259,MIDD,Middleby Corp,가정용품,532040
260,NVCR,Novocure Ltd,헬스케어 장비 및 용품,561010
261,CASY,Caseys General Stores Inc,식품 및 약품소매,543010
262,CAR,Avis Budget Group Inc,운송업,524060
263,MASI,Masimo Corp,헬스케어 장비 및 용품,561010
264,PAA,Plains All American Pipeline Units,오일 및 가스 장비 및 서비스,501030
265,CFLT,Confluent Inc Class A,소프트웨어 및 IT서비스,572010
266,HOOD,Robinhood Markets Inc Class A,핀테크,573010
267,DKNG,DraftKings Inc Class A,호텔 및 엔터테인먼트,533010
268,CHNG,Change Healthcare Inc,소프트웨어 및 IT서비스,572010
269,FOX,Fox Corp Class B,미디어 및 출판,533020
270,CGNX,Cognex Corp,"건설장비 및 대형차, 기차, 배",521020
271,CHDN,Churchill Downs Inc,호텔 및 엔터테인먼트,533010
272,KRTX,Karuna Therapeutics Inc,생명과학 및 메디컬 리서치,562020
273,SEIC,SEI Investments Co,투자은행 및 서비스,551020
274,TTEK,Tetra Tech Inc,전문 및 상업 서비스,522030
275,XRAY,DENTSPLY SIRONA Inc,헬스케어 장비 및 용품,561010
276,CACC,Credit Acceptance Corp,은행,551010
277,NXST,Nexstar Media Group Inc,미디어 및 출판,533020
278,FIVN,Five9 Inc,소프트웨어 및 IT서비스,572010
279,FIVE,Five Below Inc,다양한 소매업,534020
280,ACHC,Acadia Healthcare Company Inc,헬스케어 업체 및 서비스,561020
281,CELH,Celsius Holdings Inc,음료,541010
282,XM,Qualtrics International Inc Class A,소프트웨어 및 IT서비스,572010
283,LEGN,Legend Biotech Corp ADR,생명과학 및 메디컬 리서치,562020
284,PPC,Pilgrims Pride Corp,식품 및 담배,541020
285,ROLL,RBC Bearings Inc,"건설장비 및 대형차, 기차, 배",521020
286,WYNN,Wynn Resorts Ltd,호텔 및 엔터테인먼트,533010
287,IIVI,II-VI Inc,전자 장비 및 부품,571040
288,MKSI,MKS Instruments Inc,"건설장비 및 대형차, 기차, 배",521020
289,APLS,Apellis Pharmaceuticals Inc,제약,562010
290,HCP,HashiCorp Inc Class A,소프트웨어 및 IT서비스,572010
291,HTZ,Hertz Global Holdings Inc,운송업,524060
292,AVGOP,BROADCOM Mandatory Conv Pref,반도체 및 반도체 장비,571010
293,CNXC,Concentrix Corp,전문 및 상업 서비스,522030
294,RUN,Sunrun Inc,재생에너지,502010
295,NWSA,News Corp Class A,미디어 및 출판,533020
296,GNTX,Gentex Corp,자동차 및 자동차 부품,531010
297,YNDX,Yandex NV Class A,소프트웨어 및 IT서비스,572010
298,SYNH,Syneos Health Inc Class A,생명과학 및 메디컬 리서치,562020
299,LBTYK,Liberty Global PLC Class C,통신 서비스,574010
300,FFIN,First Financial Bankshares Inc,은행,551010
301,AGNC,AGNC Investment Corp,주택 및 상업용 리츠,601020
302,PNFP,Pinnacle Financial Partners Inc,은행,551010
303,EXAS,Exact Sciences Corp,생명과학 및 메디컬 리서치,562020
304,VLY,Valley National Bancorp,은행,551010
305,BOKF,BOK Financial Corp,은행,551010
306,RGLD,Royal Gold Inc,메탈&마이닝,512010
307,SSB,SouthState Corp,은행,551010
308,FYBR,Frontier Communications Parent Inc,통신 서비스,574010
309,LITE,Lumentum Holdings Inc,커뮤니케이션 및 네트워킹,571020
310,MRVI,Maravai LifeSciences Holdings Inc Class A,생명과학 및 메디컬 리서치,562020
311,IONS,Ionis Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
312,EXEL,Exelixis Inc,생명과학 및 메디컬 리서치,562020
313,BPOP,Popular Inc,은행,551010
314,IAC,IAC Inc,소프트웨어 및 IT서비스,572010
315,DOOO,BRP Inc,레저 상품,532050
316,CYBR,Cyberark Software Ltd,소프트웨어 및 IT서비스,572010
317,TXRH,Texas Roadhouse Inc,호텔 및 엔터테인먼트,533010
318,PDCE,PDC Energy Inc,오일 및 가스,501020
319,LFUS,Littelfuse Inc,"건설장비 및 대형차, 기차, 배",521020
320,WWD,Woodward Inc,"건설장비 및 대형차, 기차, 배",521020
321,REYN,Reynolds Consumer Products Inc,가정용품,532040
322,SAIA,Saia Inc,화물 및 물류 서비스,524050
323,Z,Zillow Group Inc Class C,부동산 운영 관리,601010
324,DSGX,Descartes Systems Group Inc,소프트웨어 및 IT서비스,572010
325,FSV,FirstService Corp,부동산 운영 관리,601010
326,QLYS,Qualys Inc,소프트웨어 및 IT서비스,572010
327,OPCH,Option Care Health Inc,헬스케어 업체 및 서비스,561020
328,LYFT,Lyft Inc Class A,소프트웨어 및 IT서비스,572010
329,EXLS,Exlservice Holdings Inc,전문 및 상업 서비스,522030
330,SOFI,SoFi Technologies Inc,은행,551010
331,HALO,Halozyme Therapeutics Inc,생명과학 및 메디컬 리서치,562020
332,QDEL,Quidelortho Corp,헬스케어 장비 및 용품,561010
333,IRDM,Iridium Communications Inc,통신 서비스,574010
334,BMBL,Bumble Inc Class A,소프트웨어 및 IT서비스,572010
335,OLED,Universal Display Corp,반도체 및 반도체 장비,571010
336,MNDY,Monday.Com Ltd,소프트웨어 및 IT서비스,572010
337,LSTR,Landstar System Inc,화물 및 물류 서비스,524050
338,LNTH,Lantheus Holdings Inc,헬스케어 장비 및 용품,561010
339,FUTU,Futu Holdings Ltd ADR,핀테크,573010
340,NATI,National Instruments Corp,소프트웨어 및 IT서비스,572010
341,CHRD,Chord Energy Corp,오일 및 가스,501020
342,DRVN,Driven Brands Holdings Inc,"개인, 가정 용품 및 서비스",542010
343,OZK,Bank Ozk,은행,551010
344,UFPI,Ufp Industries Inc,종이 및 임산물,513010
345,SHC,Sotera Health Co,전문 및 상업 서비스,522030
346,CIGI,Colliers International Group Inc,부동산 운영 관리,601010
347,PENN,PENN Entertainment Inc,호텔 및 엔터테인먼트,533010
348,NOVT,Novanta Inc,전자 장비 및 부품,571040
349,WTFC,Wintrust Financial Corp,은행,551010
350,PYCR,Paycor HCM Inc,소프트웨어 및 IT서비스,572010
351,UBSI,United Bankshares Inc,은행,551010
352,MNDT,Mandiant Inc,소프트웨어 및 IT서비스,572010
353,AMKR,Amkor Technology Inc,반도체 및 반도체 장비,571010
354,SYNA,Synaptics Inc,반도체 및 반도체 장비,571010
355,CRSP,CRISPR Therapeutics AG,생명과학 및 메디컬 리서치,562020
356,GLBE,Global-E Online Ltd,소프트웨어 및 IT서비스,572010
357,KNTK,Kinetik Holdings Inc Class A,오일 및 가스 장비 및 서비스,501030
358,MEDP,Medpace Holdings Inc,생명과학 및 메디컬 리서치,562020
359,EXPO,Exponent Inc,전문 및 상업 서비스,522030
360,ASND,Ascendis Pharma A/S ADR,생명과학 및 메디컬 리서치,562020
361,ONB,Old National Bancorp,은행,551010
362,LNW,Light & Wonder Inc,호텔 및 엔터테인먼트,533010
363,FIZZ,National Beverage Corp,음료,541010
364,HQY,Healthequity Inc,소프트웨어 및 IT서비스,572010
365,COUP,Coupa Software Inc,소프트웨어 및 IT서비스,572010
366,GDS,GDS Holdings Ltd ADR,소프트웨어 및 IT서비스,572010
367,TSEM,Tower Semiconductor Ltd,반도체 및 반도체 장비,571010
368,CERE,Cerevel Therapeutics Holdings Inc Class A,생명과학 및 메디컬 리서치,562020
369,LHCG,LHC Group Inc,헬스케어 업체 및 서비스,561020
370,ENSG,Ensign Group Inc,헬스케어 업체 및 서비스,561020
371,SIGI,Selective Insurance Group Inc,보험,553010
372,IPGP,IPG Photonics Corp,전자 장비 및 부품,571040
373,EEFT,Euronet Worldwide Inc,전문 및 상업 서비스,522030
374,VNOM,Viper Energy Partners Units,오일 및 가스,501020
375,COKE,Coca-Cola Consolidated Inc,음료,541010
376,SRCL,Stericycle Inc,전문 및 상업 서비스,522030
377,NTRA,Natera Inc,헬스케어 장비 및 용품,561010
378,GH,Guardant Health Inc,생명과학 및 메디컬 리서치,562020
379,ALGM,Allegro Microsystems Inc,반도체 및 반도체 장비,571010
380,ITCI,Intra-Cellular Therapies Inc,생명과학 및 메디컬 리서치,562020
381,CRUS,Cirrus Logic Inc,반도체 및 반도체 장비,571010
382,WOOF,Petco Health and Wellness Company Inc Class A,전문품 상점,534030
383,CYTK,Cytokinetics Inc,생명과학 및 메디컬 리서치,562020
384,OMCL,Omnicell Inc,헬스케어 장비 및 용품,561010
385,SLAB,Silicon Laboratories Inc,반도체 및 반도체 장비,571010
386,COLM,Columbia Sportswear Co,섬유 및 의류,532020
387,SPSC,SPS Commerce Inc,소프트웨어 및 IT서비스,572010
388,UMBF,UMB Financial Corp,은행,551010
389,EVO,Evotec SE ADR,생명과학 및 메디컬 리서치,562020
390,TENB,Tenable Holdings Inc,소프트웨어 및 IT서비스,572010
391,STAA,STAAR Surgical Co,헬스케어 장비 및 용품,561010
392,NVEI,Nuvei Corp,전문 및 상업 서비스,522030
393,POWI,Power Integrations Inc,반도체 및 반도체 장비,571010
394,GBT,Global Blood Therapeutics Inc,생명과학 및 메디컬 리서치,562020
395,ARWR,Arrowhead Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
396,IART,Integra Lifesciences Holdings Corp,헬스케어 장비 및 용품,561010
397,CHX,ChampionX Corp,오일 및 가스 장비 및 서비스,501030
398,WEN,Wendys Co,호텔 및 엔터테인먼트,533010
399,PLTK,Playtika Holding Corp,소프트웨어 및 IT서비스,572010
400,CROX,Crocs Inc,섬유 및 의류,532020
401,BRZE,Braze Inc Class A,소프트웨어 및 IT서비스,572010
402,BCPC,Balchem Corp,식품 및 담배,541020
403,IRTC,iRhythm Technologies Inc,헬스케어 장비 및 용품,561010
404,WB,Weibo Corp ADR Class A,미디어 및 출판,533020
405,PINC,Premier Inc Class A,헬스케어 업체 및 서비스,561020
406,FIBK,First Interstate BancSystem Inc Class A,은행,551010
407,HWC,Hancock Whitney Corp,은행,551010
408,CWST,Casella Waste Systems Inc Class A,전문 및 상업 서비스,522030
409,ALTR,Altair Engineering Inc Class A,소프트웨어 및 IT서비스,572010
410,FOXF,Fox Factory Holding Corp,자동차 및 자동차 부품,531010
411,FELE,Franklin Electric Co Inc,"건설장비 및 대형차, 기차, 배",521020
412,SPWR,SunPower Corp,재생에너지,502010
413,AZTA,Azenta Inc,생명과학 및 메디컬 리서치,562020
414,ACT,Enact Holdings Inc,보험,553010
415,MRTX,Mirati Therapeutics Inc,생명과학 및 메디컬 리서치,562020
416,NTLA,Intellia Therapeutics Inc,생명과학 및 메디컬 리서치,562020
417,TFSL,TFS Financial Corp,은행,551010
418,AVT,Avnet Inc,전자 장비 및 부품,571040
419,SHLS,Shoals Technologies Group Inc Class A,재생에너지,502010
420,BL,Blackline Inc,소프트웨어 및 IT서비스,572010
421,MTSI,MACOM Technology Solutions Holdings Inc,반도체 및 반도체 장비,571010
422,LSXMA,Liberty Media Corp Series A,미디어 및 출판,533020
423,RRR,Red Rock Resorts Inc Class A,호텔 및 엔터테인먼트,533010
424,TWKS,Thoughtworks Holding Inc,소프트웨어 및 IT서비스,572010
